Полное имя;Имя;Печенье?;Масса нетто;Масса брутто;Белки;Жиры;Углеводы;энерг.ценность;ТУ/TU;Категория;Состав:;Срок годности;Штрих код (название файла);Жирным;
К кофе;Шоколадное;Печенье сахарное «К кофе» шоколадное;265 г x 30 шт;8,35 кг;8;15;68,6;441 ккал/1808 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, какао-порошок, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота),  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая  добавка  «Ваниль».;6 мес;4627121071427;;
К кофе;Топленое молоко;Печенье сахарное «К кофе» топленое молоко;265 г x 30 шт;8,35 кг;5,94;17,73;63,83;426 ккал/1746 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота),  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая  добавка  «Ваниль».;6 мес;4627121071434;;
К кофе;Шоколадное;Печенье сахарное «К кофе» шоколадное;6,0 кг;6,4 кг;8;15;68,6;441 ккал/1808 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, какао-порошок, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота),  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая  добавка  «Ваниль».;6 мес;4627121071441;;
К кофе;Топленое молоко;Печенье сахарное «К кофе» топленое молоко;6,0 кг;6,4 кг;5,94;17,73;63,83;426 ккал/1746 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота),  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая  добавка  «Ваниль».;6 мес;4627121071250;;
Фрутия;Цитрусовый микс;Печенье сахарное «Фрутия» цитрусовый микс;465 г x 18шт;8,7 кг;6,5;14;67;420 ккал/1760 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, крахмал кукурузный.;6 мес;4627121071663;;
Фрутия;Мак и изюм;Печенье сахарное «Фрутия» мак и изюм;465 г x 18шт;8,7 кг;7,5;18;63;460 ккал/1886 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, молоко сухое обезжиренное, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, изюм, мак пищевой, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль», крахмал кукурузный.;6 мес;4627121071502;;
Фрутия;Шоколад и изюм;Печенье сахарное «Фрутия» шоколад и изюм;465 г x 18шт;8,7 кг;8;17;60;430 ккал/1800 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, какао-порошок, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, сухой яичный меланж,  соль поваренная пищевая, солодовый экстракт, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, изюм, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071625;;
Фрутия;Тропические фрукты;Печенье сахарное «Фрутия» тропические фрукты;465 г x 18шт;8,7 кг;6,7;14,4;66,2;420 ккал;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль», крахмал кукурузный.;6 мес;4627121071649;;
Фрутия;Апельсин;Печенье сахарное «Фрутия» со вкусом апельсина;465 г x 18шт;8,7 кг;6,5;14;67;420 ккал/1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль», крахмал кукурузный. ;6 мес;4627121071526;;
Минифрутия;Апельсиновый вкус;Печенье сахарное «Минифрутия» со вкусом апельсина;300 г x 20 шт;6,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль,;6 мес;4627121071465;натуральный краситель «Паприка». ;
Минифрутия;Тутти-Фрутти;Печенье сахарное «Минифрутия» со вкусом  тутти-фрутти;300 г x 20 шт;6,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль,;6 мес;4627121071489;натуральный краситель «Кармин».;
Минифрутия;Ирисо-сливочный вкус;Печенье сахарное «Минифрутия» с ирисо-сливочным вкусом;300 г x 20 шт;6,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль.;6 мес;4627121071588;;
Минифрутия;Клубничный вкус;Печенье сахарное «Минифрутия» со вкусом клубники;300 г x 20 шт;6,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль,;6 мес;4627121071540;натуральный краситель «Кармин».;
Минифрутия;Шоколадная;Печенье сахарное «Минифрутия» шоколадная;300 г x 20 шт;6,3 кг;-;-;-;-  ккал/кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, какао-порошок, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль.;6 мес;4627121071564;;
Минифрутия;Яблоко и корица;Печенье сахарное «Минифрутия» со вкусом яблока и корицы.;300 г x 20 шт;6,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль, ;6 мес;4627121071700;натуральный краситель «МИХРОМОВЫЙ ЗЕЛЕНЫЙ».;
Фрутия;Топленое молоко;Печенье сахарное «Фрутия» со вкусом топленого молока;465 г x 18 шт;8,7 кг;7;19;65,4;442 ккал /1812 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, сливки сухие, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль», крахмал кукурузный. ;6 мес;4627121071601;;
Фрутия;Малина со сливками;Печенье сахарное «Фрутия» со вкусом малины со сливками;465 г x 18 шт;8,7 кг;6,5;14,3;66,7;420 ккал /1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром,  сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль», крахмал кукурузный.;6 мес;4627121071687;;
Минифрутия;Апельсиновый вкус;Печенье сахарное «Минифрутия» со вкусом апельсина;4,0 кг;4,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль,;6 мес;4627121071786;натуральный краситель «Паприка».;
Минифрутия;Тутти-Фрутти;Печенье сахарное «Минифрутия» со вкусом  тутти-фрутти;4,0 кг;4,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль,;6 мес;4627121071793;натуральный краситель «Кармин».;
Минифрутия;Ирисо-сливочный вкус;Печенье сахарное «Минифрутия» с ирисо-сливочным вкусом;4,0 кг;4,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль.;6 мес;4627121071809;;
Минифрутия;Клубничный вкус;Печенье сахарное «Минифрутия» со вкусом клубники;4,0 кг;4,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль,;6 мес;4627121071816;натуральный краситель «Кармин».;
Минифрутия;Шоколадная;Печенье сахарное «Минифрутия» шоколадная;4,0 кг;4,3 кг;-;-;-;-  ккал/кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, какао-порошок, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль.;6 мес;4627121071823;;
Минифрутия;Яблоко и корица;Печенье сахарное «Минифрутия» со вкусом яблока и корицы.;4,0 кг;4,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль, ;6 мес;4627121071830;натуральный краситель «МИХРОМОВЫЙ ЗЕЛЕНЫЙ».;
Фрутия;Апельсин;Печенье сахарное «Фрутия» со вкусом апельсина;5,0 кг;5,3 кг;6,5;14;67;420 ккал/1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль», крахмал кукурузный.;6 мес;4627121071724;;
Фрутия;Топленое молоко;Печенье сахарное «Фрутия» со вкусом топленого молока;5,0 кг;5,3 кг;7;19;65,4;442 ккал /1812 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, сливки сухие, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль», крахмал кукурузный.;6 мес;4627121071762;;
Фрутия;Мак и изюм;Печенье сахарное «Фрутия» мак и изюм;5,0 кг;5,3 кг;7,5;18;63;460 ккал/1886 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, молоко сухое обезжиренное, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, изюм, мак пищевой, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль», крахмал кукурузный.;6 мес;4627121071717;;
Мишки-Гамми;шоколадное со вкусом вишни и мармеладом;Печенье сахарное «Мишки-Гамми» шоколадное со вкусом вишни и мармеладом;450 г x 18 шт;8,5 кг;8;17;60;430 ккал/1763 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), мармелад, какао-порошок, молоко цельное сгущенное с сахаром, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071892;;
Мишки-Гамми;со вкусом клубники со сливками и мармеладом;Печенье сахарное «Мишки-Гамми» со вкусом клубники со сливками и мармеладом;450 г x 18 шт;8,5 кг;6,5;14,3;66,7;420 ккал/1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), мармелад, молоко цельное сгущенное с сахаром, крахмал кукурузный, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071915;;
Мишки-Гамми;со вкусом фруктового микса и мармеладом;Печенье сахарное «Мишки-Гамми» со вкусом фруктового микса и мармеладом;450 г x 18 шт;8,5 кг;6,7;14,4;66,2;420 ккал/1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), мармелад, молоко цельное сгущенное с сахаром, сухой яичный меланж,  крахмал кукурузный, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071939;;
Мишки-Гамми;со вкусом ягодного микса и мармеладом;Печенье сахарное «Мишки-Гамми» со вкусом ягодного микса и мармеладом;450 г x 18 шт;8,5 кг;6,7;14,4;66,2;420 ккал/1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), мармелад, молоко цельное сгущенное с сахаром, сухой яичный меланж,  крахмал кукурузный, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071953;;
Мишки-Гамми;шоколадное со вкусом вишни и мармеладом;Печенье сахарное «Мишки-Гамми» шоколадное со вкусом вишни и мармеладом;5,0 кг;5,3 кг;8;17;60;430 ккал/1763 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), мармелад, какао-порошок, молоко цельное сгущенное с сахаром, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071847;;
