Полное имя;Имя;Печенье?;Масса нетто;Масса брутто;Белки;Жиры;Углеводы;энерг.ценность;ТУ/TU;Категория;Состав:;Срок годности;Штрих код (название файла);Жирным;
Мишки-Гамми;со вкусом клубники со сливками и мармеладом;Печенье сахарное «Мишки-Гамми» со вкусом клубники со сливками и мармеладом;5,0 кг;5,3 кг;6,5;14,3;66,7;420 ккал/1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), мармелад, молоко цельное сгущенное с сахаром, крахмал кукурузный, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071854;;
Мишки-Гамми;со вкусом фруктового микса и мармеладом;Печенье сахарное «Мишки-Гамми» со вкусом фруктового микса и мармеладом;5,0 кг;5,3 кг;6,7;14,4;66,2;420 ккал/1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), мармелад, молоко цельное сгущенное с сахаром, сухой яичный меланж,  крахмал кукурузный, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071861;;
Мишки-Гамми;со вкусом ягодного микса и мармеладом;Печенье сахарное «Мишки-Гамми» со вкусом ягодного микса и мармеладом;5,0 кг;5,3 кг;6,7;14,4;66,2;420 ккал/1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), мармелад, молоко цельное сгущенное с сахаром, сухой яичный меланж,  крахмал кукурузный, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071878;;
Бисквитка;Топлёное молоко;Печенье сахарное «Бисквитка» со вкусом топлёного молока;6,0 кг;6,4 кг;7,6;13,1;71,4;432 ккал/1772 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир растительный, молоко сгущенное с сахаром, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), сухой яичный меланж, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071151;;
Бисквитка;Топлёное молоко;Печенье сахарное «Бисквитка» со вкусом топлёного молока;9,0 кг;9,4 кг;7,6;13,1;71,4;432 ккал/1772 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ У;мука пшеничная в/с, сахар-песок, жир растительный, молоко сгущенное с сахаром, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), сухой яичный меланж, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071205;;
Бисквитка;Топлёное молоко;Печенье сахарное «Бисквитка» со вкусом топлёного молока;3,0 кг;3,3 кг;7,6;13,1;71,4;432 ккал/1772 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир растительный, молоко сгущенное с сахаром, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), сухой яичный меланж, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071304;;
Бисквитка;Топлёное молоко;Печенье сахарное «Бисквитка» со вкусом топлёного молока;410 г x 22 шт;9,4 кг;7,6;13,1;71,4;432 ккал/1772 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир растительный, молоко сгущенное с сахаром, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), сухой яичный меланж, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;;;
Буратино;С маком и изюмом;Печенье сахарное «Буратино» с маком и изюмом;3,0 кг;3,3 кг;7,5;18;63;460 ккал/1930 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир растительный, изюм, мак пищевой, крахмал кукурузный, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота), молоко сухое обезжиренное, сухой яичный меланж, молоко цельное сгущенное с сахаром, разрыхлители: натрий двууглекислый, карбонат аммония, соль пищевая, эмульгатор — лецитин соевый, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071281;;
Буратино;С маком и изюмом;Печенье сахарное «Буратино» с маком и изюмом;5,0 кг;5,4 кг;7,5;18;63;460 ккал/1930 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир растительный, изюм, мак пищевой, крахмал кукурузный, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота), молоко сухое обезжиренное, сухой яичный меланж, молоко цельное сгущенное с сахаром, разрыхлители: натрий двууглекислый, карбонат аммония, соль пищевая, эмульгатор — лецитин соевый, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121070024;;
Буратино;С маком и изюмом;Печенье сахарное «Буратино» с маком и изюмом;5,0 кг;5,4 кг;7,5;18;63;460 ккал/1930 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ У;мука пшеничная в/с, сахар-песок, жир растительный, изюм, мак пищевой, крахмал кукурузный, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота), молоко сухое обезжиренное, сухой яичный меланж, молоко цельное сгущенное с сахаром, разрыхлители: натрий двууглекислый, карбонат аммония, соль пищевая, эмульгатор — лецитин соевый, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071328;;
Буратино;С маком и изюмом;Печенье сахарное «Буратино» с маком и изюмом;650 г x 10 шт;6,9 кг;7,5;18;63;460 ккал/1930 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир растительный, изюм, мак пищевой, крахмал кукурузный, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота), молоко сухое обезжиренное, сухой яичный меланж, молоко цельное сгущенное с сахаром, разрыхлители: натрий двууглекислый, карбонат аммония, соль пищевая, эмульгатор — лецитин соевый, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;;;
Мечта Бисквитки;Топлёное молоко;Печенье сахарное «Мечта Бисквитки» со вкусом топлёного молока;6,0 кг;6,4 кг;7,6;13,1;71,4;432 ккал/1772 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир растительный, молоко сгущенное с сахаром, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), сухой яичный меланж, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121072189;;Мечта Бисквитки.png
Мечта Бисквитки;Топлёное молоко;Печенье сахарное «Мечта Бисквитки» со вкусом топлёного молока;9,0 кг;9,4 кг;7,6;13,1;71,4;432 ккал/1772 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ У;мука пшеничная в/с, сахар-песок, жир растительный, молоко сгущенное с сахаром, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), сухой яичный меланж, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121072196;;Мечта Бисквитки.png
Мечта Бисквитки;Топлёное молоко;Печенье сахарное «Мечта Бисквитки» со вкусом топлёного молока;3,0 кг;3,3 кг;7,6;13,1;71,4;432 ккал/1772 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир растительный, молоко сгущенное с сахаром, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), сухой яичный меланж, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121072202;;Мечта Бисквитки.png
Мечта Бисквитки;Топлёное молоко;Печенье сахарное «Мечта Бисквитки» со вкусом топлёного молока;410 г x 22 шт;9,4 кг;7,6;13,1;71,4;432 ккал/1772 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир растительный, молоко сгущенное с сахаром, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), сухой яичный меланж, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121072172;;Мечта Бисквитки.png
Мечта Папы Карло;С фундуком;Печенье сахарное «Мечта Папы Карло» с фундуком;6,0 кг;6,4 кг;8,3;18,2;61,5;443 ккал/1855 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, жир растительный, сахар-песок, инвертный сироп (сахар, регулятор кислотности — лимонная кислота), молоко сгущенное цельное с сахаром, декстроза, солодовый экстракт, сухой яичный меланж, орех дробленый, соль пищевая, разрыхлители: натрий двууглекислый, гидрокарбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, ванилин.;6 мес;4627121072240;;
Мечта Бисквитки;Традиционная;Печенье сахарное «Мечта Бисквитки» традиционная;6,5 кг;7,0 кг;7,3;17,3;65,6;447 ккал/1833 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота), сухой яичный меланж, молоко сухое обезжиренное, соль пищевая, разрыхлители — натрий двууглекислый, гидрокарбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному «Сгущенное молоко», ванилин.;6 мес;4627121072271;;Мечта Бисквитки.png
Мечта Карабаса;Шоколадное с орехами и изюмом;Печенье сахарное «Мечта Карабаса» шоколадное с орехами и изюмом;3,5 кг;3,8 кг;8;17;60;430 ккал/1800 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, жир растительный, сахар-песок, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота), изюм, какао-порошок, орех дробленый, молоко цельное сгущенное с сахаром, сухой яичный меланж, разрыхлители: натрий двууглекислый, карбонат аммония, соль пищевая, эмульгатор — лецитин соевый, ароматизаторы идентичные натуральным, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121072042;;
Мечта Карабаса;Шоколадное с орехами и изюмом;Печенье сахарное «Мечта Карабаса» шоколадное с орехами и изюмом;6,0 кг;6,4 кг;8;17;60;430 ккал/1800 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, жир растительный, сахар-песок, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота), изюм, какао-порошок, орех дробленый, молоко цельное сгущенное с сахаром, сухой яичный меланж, разрыхлители: натрий двууглекислый, карбонат аммония, соль пищевая, эмульгатор — лецитин соевый, ароматизаторы идентичные натуральным, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121072035;;
Мечта Мальвины;Малина со сливками;Печенье сахарное «Мечта Мальвины» малина со сливками;5,5 кг;5,9 кг;6,5;14,3;66,7;420 ккал/1760 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, жир растительный, сахар-песок, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота), цукаты фруктов, молоко сгущенное цельное с сахаром, крахмал кукурузный, сухой яичный меланж, соль пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121072219;;
Мечта Карабаса;Шоколадное с орехами и изюмом;Печенье сахарное «Мечта Карабаса» шоколадное с орехами и изюмом;6,0 кг;6,4 кг;8;17;60;430 ккал/1800 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ У;мука пшеничная в/с, жир растительный, сахар-песок, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота), изюм, какао-порошок, орех дробленый, молоко цельное сгущенное с сахаром, сухой яичный меланж, разрыхлители: натрий двууглекислый, карбонат аммония, соль пищевая, эмульгатор — лецитин соевый, ароматизаторы идентичные натуральным, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121072059;;
Мечта Бисквитки;Творожная;Печенье сахарное «Мечта Бисквитки» творожная;6,0 кг;6,4 кг;7,2;17,3;65,4;446 ккал/1866 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир растительный, молокопродукты, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота), яйцепродукты, йогуртовый порошок, соль поваренная пищевая, разрыхлители — натрий двууглекислый, гидрокарбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, ванилин.;6 мес;4627121072288;;Мечта Бисквитки.png
Традиционное;Традиционное;Печенье сахарное «Традиционное»;9,0кг;9,44 кг;8;10;76;430 ккал/1780 кДж;ГОСТ 24901-2014;ВЕСОВОЕ;мука пшеничная в/с,  сахар-песок, маргарин, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота),соль пищевая, разрыхлители: карбонат аммония, натрий двууглекислый.;6мес;4627121072714;;
Творожное;Творожное;Печенье сахарное «Творожное»;5,0 кг;5,35 кг;7,2;16,8;66;443 ккал/1854 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с,  сахар-песок, маргарин, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота),сухой яичный меланж, соль пищевая, молоко сухое обезжиренное,творожный порошок (йогруртовый порошок, молочная сыворотка,мальтодекстрин картофельный, сухое молоко, ароматические компоненты, лактоза, декстроза, соль поваренная),  разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному «Творожный торт», вкусо-ароматическая добавка «Ваниль».;6 мес;4627121072691;;
Традиционное;Традиционное;Печенье сахарное «Традиционное»;5,0 кг;5,35кг;8;10;76;430 ккал/1780 кДж;ГОСТ 24901-2014;ВЕСОВОЕ;мука пшеничная общего назначения,  сахар-песок, маргарин, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота),соль пищевая, разрыхлители: карбонат аммония, натрий двууглекислый.;6мес;4627121072721;;
Минифрутия;Апельсиновый вкус Артикул МЕТРО 534412001002;Печенье сахарное «Минифрутия» со вкусом апельсина;300 г x 20 шт;6,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль,;6 мес;4627121071465;;
Фрутия;Топленое молоко;Печенье сахарное «Фрутия» со вкусом топленого молока;3,0 кг;3,16 кг;7;19;65,4;442 ккал /1812 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, сливки сухие, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль», крахмал кукурузный.;6 мес;4627121071717;;
Мечта Бисквитки;Традиционная клубника со сливками;Печенье сахарное «Мечта Бисквитки» традиционная клубника со сливками;4,0 кг;4,35 кг;7,3;17,3;65,6;447 ккал/1833 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с,  сахар-песок, жир кондитерский, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота),сухой яичный меланж,  молоко сухое обезжиренное, соль пищевая,  разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор-лецитин, ароматизатор идентичный натуральному «Клкбника со сливками», вкусо-ароматическая добавка «Ваниль».;6 мес;4627121072363;;Мечта Бисквитки.png
Мечта Бисквитки;Со вкусом топлёного молока с изюмом;Печенье сахарное «Мечта Бисквитка» со вкусом топлёного молока с изюмом;3,0 кг;3,16 кг;7,6;13,1;71,4;432 ккал/1772 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с,  сахар-песок, жир кондитерский,инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота),изюм, молоко сгущенное с сахаром, сухой яичный меланж,   соль пищевая,  разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор-лецитин, ароматизатор идентичный натуральному «Топленое молоко», вкусо-ароматическая добавка «Ваниль».;6 мес;4627121072448;;Мечта Бисквитки.png
Мишки-Гамми;со вкусом ягодного микса и мармеладом;Печенье сахарное «Мишки-Гамми» со вкусом ягодного микса и мармеладом;3,0 кг;3,16 кг;6,7;14,4;66,2;420 ккал/1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), мармелад, молоко цельное сгущенное с сахаром, сухой яичный меланж,  крахмал кукурузный, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121072417;;
Мишки-Гамми;со вкусом ягодного микса и мармеладом;Печенье сахарное «Мишки-Гамми» со вкусом ягодного микса и мармеладом;3,0 кг;3,16 кг;6,7;14,4;66,2;420 ккал/1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), мармелад, молоко цельное сгущенное с сахаром, сухой яичный меланж,  крахмал кукурузный, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121072417;;
Бабулина Сладость;С изюмом;Печенье сахарное «Бабулина Сладость»  с изюмом;5,0 кг;5,4 кг;8,6;8,2;76;411ккал/1720кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), изюм,разрыхлители: карбонат аммония, натрий двууглекислый, соль поваренная пищевая, эмульгатор — лецитин соевый,армотизатор «Ванилин»,ароматизатор идентичный натуральному, может содержать  следы арахиса, орехов, кунжута.;6 мес;4627121074138;;
